metric,value
"Total Transactions","94"
"Total Orders","45"
"Win Rate","51.11%"
"Profit Factor","2.44"
"Total Return","3.50%"
"Sharpe Ratio","1.90"
"Max Drawdown","-1.36%"
"Final Balance","$10349.94"
